# wavelength_angstrom transmission
9.000000e+04 1.813002e-03
9.010000e+04 3.108003e-03
9.020000e+04 5.180005e-03
9.030000e+04 8.547009e-03
9.040000e+04 1.243201e-02
9.050000e+04 1.269101e-02
9.060000e+04 1.269101e-02
9.070000e+04 1.243201e-02
9.080000e+04 1.269101e-02
9.090000e+04 1.476301e-02
9.100000e+04 1.657602e-02
9.110000e+04 1.528102e-02
9.120000e+04 1.398601e-02
9.130000e+04 1.838902e-02
9.140000e+04 2.279202e-02
9.150000e+04 2.538203e-02
9.160000e+04 2.641803e-02
9.170000e+04 3.211603e-02
9.180000e+04 3.651904e-02
9.190000e+04 4.765605e-02
9.200000e+04 5.879306e-02
9.210000e+04 7.355607e-02
9.220000e+04 8.883709e-02
9.230000e+04 1.137011e-01
9.240000e+04 1.390831e-01
9.250000e+04 1.693862e-01
9.260000e+04 2.038332e-01
9.270000e+04 2.463092e-01
9.280000e+04 2.789433e-01
9.290000e+04 3.245273e-01
9.300000e+04 3.553484e-01
9.310000e+04 3.895364e-01
9.320000e+04 4.066304e-01
9.330000e+04 4.478114e-01
9.340000e+04 4.576535e-01
9.350000e+04 5.146335e-01
9.360000e+04 5.151515e-01
9.370000e+04 5.757576e-01
9.380000e+04 6.361046e-01
9.390000e+04 7.635328e-01
9.400000e+04 8.373478e-01
9.410000e+04 8.370888e-01
9.420000e+04 8.733489e-01
9.430000e+04 7.858068e-01
9.440000e+04 8.044548e-01
9.450000e+04 9.132349e-01
9.460000e+04 7.930588e-01
9.470000e+04 9.298109e-01
9.480000e+04 8.438228e-01
9.490000e+04 9.865320e-01
9.500000e+04 7.720798e-01
9.510000e+04 1.000000e+00
9.520000e+04 8.580679e-01
9.530000e+04 9.041699e-01
9.540000e+04 9.365449e-01
9.550000e+04 8.979539e-01
9.560000e+04 8.878529e-01
9.570000e+04 8.598809e-01
9.580000e+04 9.085729e-01
9.590000e+04 8.860399e-01
9.600000e+04 9.080549e-01
9.610000e+04 9.010619e-01
9.620000e+04 8.914789e-01
9.630000e+04 9.054649e-01
9.640000e+04 8.912199e-01
9.650000e+04 8.870759e-01
9.660000e+04 8.881119e-01
9.670000e+04 8.816369e-01
9.680000e+04 9.008029e-01
9.690000e+04 9.090909e-01
9.700000e+04 8.883709e-01
9.710000e+04 8.974359e-01
9.720000e+04 8.795649e-01
9.730000e+04 8.679099e-01
9.740000e+04 8.536649e-01
9.750000e+04 8.433048e-01
9.760000e+04 8.389018e-01
9.770000e+04 8.440818e-01
9.780000e+04 8.350168e-01
9.790000e+04 8.337218e-01
9.800000e+04 8.179228e-01
9.810000e+04 8.269878e-01
9.820000e+04 8.150738e-01
9.830000e+04 7.992748e-01
9.840000e+04 7.984978e-01
9.850000e+04 7.821808e-01
9.860000e+04 7.782958e-01
9.870000e+04 7.674178e-01
9.880000e+04 7.562808e-01
9.890000e+04 7.474747e-01
9.900000e+04 7.353017e-01
9.910000e+04 7.259777e-01
9.920000e+04 7.153587e-01
9.930000e+04 7.034447e-01
9.940000e+04 6.933437e-01
9.950000e+04 6.829837e-01
9.960000e+04 6.721057e-01
9.970000e+04 6.609687e-01
9.980000e+04 6.498316e-01
9.990000e+04 6.386946e-01
1.000000e+05 6.267806e-01
1.001000e+05 6.130536e-01
1.002000e+05 5.972546e-01
1.003000e+05 5.835276e-01
1.004000e+05 5.685056e-01
1.005000e+05 5.542606e-01
1.006000e+05 5.392385e-01
1.007000e+05 5.252525e-01
1.008000e+05 5.107485e-01
1.009000e+05 4.972805e-01
1.010000e+05 4.838125e-01
1.011000e+05 4.711215e-01
1.012000e+05 4.573945e-01
1.013000e+05 4.441854e-01
1.014000e+05 4.309764e-01
1.015000e+05 4.172494e-01
1.016000e+05 4.035224e-01
1.017000e+05 3.895364e-01
1.018000e+05 3.755504e-01
1.019000e+05 3.615644e-01
1.020000e+05 3.483553e-01
1.021000e+05 3.377363e-01
1.022000e+05 3.273763e-01
1.023000e+05 3.170163e-01
1.024000e+05 3.066563e-01
1.025000e+05 2.968143e-01
1.026000e+05 2.867133e-01
1.027000e+05 2.763533e-01
1.028000e+05 2.662523e-01
1.029000e+05 2.561513e-01
1.030000e+05 2.460502e-01
1.031000e+05 2.359492e-01
1.032000e+05 2.255892e-01
1.033000e+05 2.154882e-01
1.034000e+05 2.053872e-01
1.035000e+05 1.950272e-01
1.036000e+05 1.849262e-01
1.037000e+05 1.750842e-01
1.038000e+05 1.649832e-01
1.039000e+05 1.548822e-01
1.040000e+05 1.458171e-01
1.041000e+05 1.416731e-01
1.042000e+05 1.383061e-01
1.043000e+05 1.346801e-01
1.044000e+05 1.313131e-01
1.045000e+05 1.279461e-01
1.046000e+05 1.243201e-01
1.047000e+05 1.209531e-01
1.048000e+05 1.175861e-01
1.049000e+05 1.139601e-01
1.050000e+05 1.105931e-01
1.051000e+05 1.072261e-01
1.052000e+05 1.036001e-01
1.053000e+05 1.002331e-01
1.054000e+05 9.660710e-02
1.055000e+05 9.298109e-02
1.056000e+05 8.935509e-02
1.057000e+05 8.547009e-02
