# wavelength_angstrom transmission
8.160000e+04 7.892004e-03
8.170000e+04 8.099688e-03
8.180000e+04 7.892004e-03
8.190000e+04 6.853583e-03
8.200000e+04 5.607477e-03
8.210000e+04 4.361371e-03
8.220000e+04 2.907580e-03
8.230000e+04 1.453790e-03
8.240000e+04 0.000000e+00
8.250000e+04 -6.230530e-04
8.260000e+04 -1.038422e-03
8.270000e+04 -1.038422e-03
8.280000e+04 -8.307373e-04
8.290000e+04 2.076843e-04
8.300000e+04 1.246106e-03
8.310000e+04 2.284528e-03
8.320000e+04 3.115265e-03
8.330000e+04 3.946002e-03
8.340000e+04 4.984424e-03
8.350000e+04 7.268951e-03
8.360000e+04 9.761163e-03
8.370000e+04 1.266874e-02
8.380000e+04 1.661475e-02
8.390000e+04 2.741433e-02
8.400000e+04 3.946002e-02
8.410000e+04 5.233645e-02
8.420000e+04 6.625130e-02
8.430000e+04 8.348910e-02
8.440000e+04 1.028037e-01
8.450000e+04 1.310488e-01
8.460000e+04 1.617861e-01
8.470000e+04 2.000000e-01
8.480000e+04 2.402908e-01
8.490000e+04 2.897196e-01
8.500000e+04 3.416407e-01
8.510000e+04 3.995846e-01
8.520000e+04 4.593977e-01
8.530000e+04 5.210800e-01
8.540000e+04 5.825545e-01
8.550000e+04 6.413292e-01
8.560000e+04 6.982347e-01
8.570000e+04 7.497404e-01
8.580000e+04 7.987539e-01
8.590000e+04 8.377985e-01
8.600000e+04 8.741433e-01
8.610000e+04 9.025961e-01
8.620000e+04 9.287643e-01
8.630000e+04 9.466251e-01
8.640000e+04 9.622015e-01
8.650000e+04 9.711319e-01
8.660000e+04 9.788162e-01
8.670000e+04 9.848390e-01
8.680000e+04 9.902388e-01
8.690000e+04 9.925234e-01
8.700000e+04 9.941848e-01
8.710000e+04 9.948079e-01
8.720000e+04 9.952233e-01
8.730000e+04 9.964694e-01
8.740000e+04 9.975078e-01
8.750000e+04 9.979232e-01
8.760000e+04 9.981308e-01
8.770000e+04 9.989616e-01
8.780000e+04 9.997923e-01
8.790000e+04 1.000000e+00
8.800000e+04 9.995846e-01
8.810000e+04 9.981308e-01
8.820000e+04 9.964694e-01
8.830000e+04 9.954309e-01
8.840000e+04 9.941848e-01
8.850000e+04 9.937695e-01
8.860000e+04 9.923157e-01
8.870000e+04 9.919003e-01
8.880000e+04 9.902388e-01
8.890000e+04 9.898235e-01
8.900000e+04 9.873313e-01
8.910000e+04 9.860852e-01
8.920000e+04 9.829699e-01
8.930000e+04 9.777778e-01
8.940000e+04 9.740395e-01
8.950000e+04 9.686397e-01
8.960000e+04 9.543094e-01
8.970000e+04 9.343718e-01
8.980000e+04 9.420561e-01
8.990000e+04 8.913811e-01
9.000000e+04 9.408100e-01
9.010000e+04 9.260644e-01
9.020000e+04 9.341641e-01
9.030000e+04 9.235722e-01
9.040000e+04 9.619938e-01
9.050000e+04 9.549325e-01
9.060000e+04 9.441329e-01
9.070000e+04 9.150571e-01
9.080000e+04 9.169263e-01
9.090000e+04 9.206646e-01
9.100000e+04 9.117342e-01
9.110000e+04 9.246106e-01
9.120000e+04 9.169263e-01
9.130000e+04 9.098650e-01
9.140000e+04 8.992731e-01
9.150000e+04 9.192108e-01
9.160000e+04 8.820353e-01
9.170000e+04 9.121495e-01
9.180000e+04 8.731049e-01
9.190000e+04 8.899273e-01
9.200000e+04 8.776739e-01
9.210000e+04 8.697819e-01
9.220000e+04 8.386293e-01
9.230000e+04 8.201454e-01
9.240000e+04 7.858775e-01
9.250000e+04 7.453790e-01
9.260000e+04 7.117342e-01
9.270000e+04 6.716511e-01
9.280000e+04 6.020768e-01
9.290000e+04 5.493250e-01
9.300000e+04 4.760125e-01
9.310000e+04 4.103842e-01
9.320000e+04 3.354102e-01
9.330000e+04 2.868120e-01
9.340000e+04 2.278297e-01
9.350000e+04 1.948079e-01
9.360000e+04 1.491173e-01
9.370000e+04 1.304258e-01
9.380000e+04 1.075805e-01
9.390000e+04 9.657321e-02
9.400000e+04 7.808930e-02
9.410000e+04 5.898235e-02
9.420000e+04 4.485981e-02
9.430000e+04 3.073728e-02
9.440000e+04 2.326064e-02
9.450000e+04 2.014538e-02
9.460000e+04 1.329180e-02
9.470000e+04 1.246106e-02
9.480000e+04 9.138110e-03
9.490000e+04 8.307373e-03
9.500000e+04 5.192108e-03
9.510000e+04 5.399792e-03
9.520000e+04 3.738318e-03
9.530000e+04 3.115265e-03
9.540000e+04 2.492212e-03
9.550000e+04 1.453790e-03
9.560000e+04 8.307373e-04
9.570000e+04 6.230530e-04
9.580000e+04 4.153686e-04
9.590000e+04 0.000000e+00
9.600000e+04 -4.153686e-04
9.610000e+04 -4.153686e-04
9.620000e+04 -4.153686e-04
9.630000e+04 -4.153686e-04
9.640000e+04 -4.153686e-04
9.650000e+04 -4.153686e-04
9.660000e+04 -6.230530e-04
